323.9098	221.9463
236.2158	221.5570
324.3791	159.3425
236.9847	158.2908
697.0042	129.9797
609.1407	131.8492
700.5850	191.7678
612.2494	194.2193
1091.4680	226.2822
1003.3640	225.6640
1092.1621	163.1556
1004.1315	162.7285

323.9012	221.9849
236.2067	221.5973
324.3738	159.3765
236.9703	158.3285
697.0336	129.9925
609.1386	131.8772
700.5834	191.7976
612.2486	194.2527
1091.4635	226.2932
1003.3593	225.6811
1092.1558	163.1615
1004.1329	162.7434

323.8122	221.9836
236.1226	221.5929
324.2934	159.3757
236.8815	158.3239
696.9638	130.0094
609.0691	131.8826
700.5299	191.7945
612.2000	194.2495
1091.4543	226.2954
1003.3509	225.6753
1092.1455	163.1546
1004.1094	162.7394

323.8717	221.9764
236.1708	221.5880
324.3454	159.3620
236.9345	158.3162
696.9919	129.9919
609.0933	131.8726
700.5431	191.7867
612.2304	194.2488
1091.4644	226.2906
1003.3612	225.6766
1092.1599	163.1518
1004.1283	162.7362

323.8544	221.9934
236.1645	221.6051
324.3316	159.3820
236.9247	158.3360
697.0003	129.9991
609.1036	131.8877
700.5562	191.8020
612.2312	194.2715
1091.4677	226.3014
1003.3642	225.6867
1092.1645	163.1657
1004.1279	162.7477

308.3543	225.9990
220.6841	225.5394
308.9553	163.3465
221.4930	162.2879
681.3088	126.3483
593.2546	128.1874
684.6985	187.9928
596.3801	190.5091
1075.9413	230.4185
987.7033	229.7490
1076.6404	167.3290
988.5034	166.8158

321.2649	231.3020
233.6324	230.6816
322.1035	168.6872
234.7535	167.4288
692.7041	119.9262
604.7347	122.0181
696.6188	181.6890
608.0986	184.3735
1088.8493	237.4653
1000.7198	236.6076
1089.8488	174.3046
1001.8180	173.6898

322.5182	226.6568
234.8696	226.1925
323.0325	164.0107
235.6913	162.9171
695.2319	125.2107
607.4231	127.1262
698.9815	186.9628
610.3366	189.5028
1090.0478	231.3303
1002.0282	230.6618
1090.8478	168.1990
1002.8095	167.7326

316.4361	223.6638
