Test Date Time,22--10--19--09:47:43
Frame Grabbed,1005
FPS,999.916673610532
LED Left,2.69,LED Right,2.69
Time To Test,0.000

Frame No.,X(um),Y(um),Z(um),TX(min),TY(min),TZ(min),,N1 X,N1 Y,N2 X,N2 Y,W1 X,W1 Y, W2 X, W2 Y,S1 X,S1 Y,S2 X,S2 Y,E1 X,E1 Y,E2 X,E2 Y,tN1 X,tN1 Y,tN2 X,tN2 Y,tS1 X,tS1 Y,tS2 X,tS2 Y
19,0.02,0.02,0.13,0.12,-0.11,-0.06,,587.4727,54.6878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3519,51.7835,0.0000,0.0000,421.3734,221.5077,0.0000,0.0000,590.1435,282.6862,0.0000,0.0000,260.6551,277.1129,0.0000,0.0000,
20,-0.01,-0.09,-0.01,-0.01,0.24,0.07,,587.4650,54.6959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3424,51.7736,0.0000,0.0000,421.3621,221.5144,0.0000,0.0000,590.1427,282.6729,0.0000,0.0000,260.6521,277.1121,0.0000,0.0000,
21,0.00,0.02,0.06,0.04,0.15,0.00,,587.4681,54.6968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3610,51.7770,0.0000,0.0000,421.3642,221.5135,0.0000,0.0000,590.1403,282.6832,0.0000,0.0000,260.6577,277.1153,0.0000,0.0000,
22,-0.10,-0.02,0.07,0.09,0.28,-0.06,,587.4588,54.7026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3386,51.7693,0.0000,0.0000,421.3686,221.5101,0.0000,0.0000,590.1559,282.6838,0.0000,0.0000,260.6583,277.1103,0.0000,0.0000,
23,-0.06,0.07,0.05,0.28,0.00,-0.09,,587.4456,54.7025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3595,51.7884,0.0000,0.0000,421.3753,221.5082,0.0000,0.0000,590.1514,282.6912,0.0000,0.0000,260.6600,277.1146,0.0000,0.0000,
24,0.00,0.01,-0.06,-0.17,-0.04,-0.01,,587.4619,54.6907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3543,51.7845,0.0000,0.0000,421.3758,221.5266,0.0000,0.0000,590.1415,282.6830,0.0000,0.0000,260.6568,277.1143,0.0000,0.0000,
25,0.00,-0.09,0.00,0.33,0.10,-0.01,,587.4611,54.7004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3610,51.7835,0.0000,0.0000,421.3552,221.5019,0.0000,0.0000,590.1490,282.6771,0.0000,0.0000,260.6489,277.1080,0.0000,0.0000,
26,0.02,-0.02,0.18,0.10,0.30,0.07,,587.4570,54.6942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3493,51.7678,0.0000,0.0000,421.3648,221.5045,0.0000,0.0000,590.1399,282.6771,0.0000,0.0000,260.6510,277.1166,0.0000,0.0000,
27,-0.18,0.15,0.31,-0.04,0.15,-0.07,,587.4540,54.6905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3626,51.7663,0.0000,0.0000,421.3779,221.5098,0.0000,0.0000,590.1593,282.6949,0.0000,0.0000,260.6655,277.1202,0.0000,0.0000,
28,0.01,-0.09,0.06,0.25,-0.01,-0.03,,587.4714,54.6921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3510,51.7827,0.0000,0.0000,421.3665,221.5019,0.0000,0.0000,590.1368,282.6774,0.0000,0.0000,260.6618,277.1074,0.0000,0.0000,
29,0.00,0.03,0.17,0.23,0.19,0.02,,587.4642,54.6974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3505,51.7759,0.0000,0.0000,421.3614,221.5027,0.0000,0.0000,590.1427,282.6833,0.0000,0.0000,260.6539,277.1176,0.0000,0.0000,
30,0.08,-0.01,0.00,0.21,-0.08,-0.04,,587.4606,54.6953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3565,51.7904,0.0000,0.0000,421.3667,221.5100,0.0000,0.0000,590.1370,282.6834,0.0000,0.0000,260.6527,277.1123,0.0000,0.0000,
31,-0.13,-0.05,0.12,0.07,0.11,-0.01,,587.4794,54.6912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3453,51.7736,0.0000,0.0000,421.3668,221.5075,0.0000,0.0000,590.1478,282.6797,0.0000,0.0000,260.6669,277.1111,0.0000,0.0000,
32,-0.07,0.02,0.18,0.05,-0.05,0.01,,587.4608,54.6840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3519,51.7800,0.0000,0.0000,421.3604,221.5080,0.0000,0.0000,590.1501,282.6833,0.0000,0.0000,260.6556,277.1163,0.0000,0.0000,
33,-0.14,-0.04,0.10,0.04,0.17,0.11,,587.4538,54.6901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3578,51.7753,0.0000,0.0000,421.3689,221.5097,0.0000,0.0000,590.1546,282.6742,0.0000,0.0000,260.6540,277.1166,0.0000,0.0000,
34,-0.06,-0.02,0.23,-0.10,0.16,0.03,,587.4582,54.6836,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3585,51.7648,0.0000,0.0000,421.3605,221.5089,0.0000,0.0000,590.1450,282.6793,0.0000,0.0000,260.6586,277.1147,0.0000,0.0000,
35,-0.01,-0.12,0.00,0.20,0.03,-0.10,,587.4708,54.6968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3515,51.7798,0.0000,0.0000,421.3640,221.5056,0.0000,0.0000,590.1479,282.6797,0.0000,0.0000,260.6567,277.1022,0.0000,0.0000,
36,-0.03,0.03,0.20,0.09,0.17,-0.11,,587.4773,54.6956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3572,51.7682,0.0000,0.0000,421.3598,221.5056,0.0000,0.0000,590.1517,282.6892,0.0000,0.0000,260.6558,277.1113,0.0000,0.0000,
37,-0.01,0.06,0.18,0.17,-0.20,-0.14,,587.4622,54.6871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3447,51.7851,0.0000,0.0000,421.3799,221.5051,0.0000,0.0000,590.1490,282.6924,0.0000,0.0000,260.6581,277.1117,0.0000,0.0000,
38,-0.07,-0.06,0.00,0.16,0.15,0.06,,587.4625,54.6976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3546,51.7817,0.0000,0.0000,421.3726,221.5094,0.0000,0.0000,590.1502,282.6756,0.0000,0.0000,260.6532,277.1139,0.0000,0.0000,
39,-0.03,0.00,0.12,0.10,0.26,0.03,,587.4608,54.6974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3526,51.7714,0.0000,0.0000,421.3620,221.5080,0.0000,0.0000,590.1570,282.6808,0.0000,0.0000,260.6424,277.1156,0.0000,0.0000,
40,-0.08,-0.01,0.12,0.21,0.02,-0.13,,587.4617,54.6958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3568,51.7775,0.0000,0.0000,421.3809,221.5038,0.0000,0.0000,590.1504,282.6877,0.0000,0.0000,260.6650,277.1074,0.0000,0.0000,
41,-0.08,0.05,0.06,0.13,0.22,-0.02,,587.4800,54.7034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3581,51.7773,0.0000,0.0000,421.3623,221.5117,0.0000,0.0000,590.1470,282.6862,0.0000,0.0000,260.6617,277.1163,0.0000,0.0000,
42,0.04,0.08,0.12,0.11,0.11,0.03,,587.4693,54.6958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3498,51.7810,0.0000,0.0000,421.3610,221.5112,0.0000,0.0000,590.1387,282.6858,0.0000,0.0000,260.6518,277.1208,0.0000,0.0000,
43,0.04,0.04,0.14,0.24,0.15,-0.19,,587.4670,54.7047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3585,51.7734,0.0000,0.0000,421.3772,221.5039,0.0000,0.0000,590.1482,282.6939,0.0000,0.0000,260.6548,277.1082,0.0000,0.0000,
44,-0.15,0.10,0.24,0.13,-0.18,-0.06,,587.4723,54.6830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3609,51.7840,0.0000,0.0000,421.3688,221.5054,0.0000,0.0000,590.1602,282.6911,0.0000,0.0000,260.6605,277.1176,0.0000,0.0000,
45,-0.02,-0.01,0.06,0.01,0.04,-0.09,,587.4682,54.6938,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3550,51.7770,0.0000,0.0000,421.3691,221.5142,0.0000,0.0000,590.1439,282.6858,0.0000,0.0000,260.6610,277.1098,0.0000,0.0000,
46,-0.01,0.04,0.17,0.05,0.13,-0.03,,587.4596,54.6928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3575,51.7729,0.0000,0.0000,421.3674,221.5090,0.0000,0.0000,590.1456,282.6862,0.0000,0.0000,260.6547,277.1160,0.0000,0.0000,
47,-0.09,-0.03,0.03,-0.13,-0.17,-0.01,,587.4511,54.6814,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3478,51.7848,0.0000,0.0000,421.3624,221.5197,0.0000,0.0000,590.1400,282.6805,0.0000,0.0000,260.6690,277.1126,0.0000,0.0000,
48,-0.04,-0.04,0.16,0.29,0.25,0.06,,587.4585,54.6968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3565,51.7738,0.0000,0.0000,421.3738,221.4977,0.0000,0.0000,590.1446,282.6762,0.0000,0.0000,260.6544,277.1147,0.0000,0.0000,
49,-0.06,0.03,0.16,0.13,0.02,0.03,,587.4592,54.6892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3528,51.7808,0.0000,0.0000,421.3661,221.5064,0.0000,0.0000,590.1444,282.6828,0.0000,0.0000,260.6591,277.1179,0.0000,0.0000,
50,0.06,0.01,0.00,0.10,0.08,-0.14,,587.4650,54.7025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3586,51.7796,0.0000,0.0000,421.3735,221.5142,0.0000,0.0000,590.1381,282.6895,0.0000,0.0000,260.6601,277.1088,0.0000,0.0000,
51,-0.08,0.05,0.23,0.17,0.04,-0.02,,587.4553,54.6892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3462,51.7764,0.0000,0.0000,421.3553,221.5019,0.0000,0.0000,590.1465,282.6859,0.0000,0.0000,260.6620,277.1165,0.0000,0.0000,
52,-0.09,0.11,0.39,0.12,0.03,-0.07,,587.4622,54.6841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3593,51.7693,0.0000,0.0000,421.3729,221.4987,0.0000,0.0000,590.1589,282.6923,0.0000,0.0000,260.6542,277.1181,0.0000,0.0000,
53,-0.08,-0.06,-0.01,0.21,0.15,0.04,,587.4685,54.6998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3549,51.7822,0.0000,0.0000,421.3724,221.5083,0.0000,0.0000,590.1518,282.6763,0.0000,0.0000,260.6544,277.1124,0.0000,0.0000,
54,-0.04,0.02,0.04,0.00,0.01,-0.08,,587.4563,54.6946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3479,51.7799,0.0000,0.0000,421.3670,221.5161,0.0000,0.0000,590.1479,282.6871,0.0000,0.0000,260.6601,277.1116,0.0000,0.0000,
55,-0.14,-0.02,0.21,0.07,-0.14,-0.13,,587.4641,54.6817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3525,51.7761,0.0000,0.0000,421.3604,221.5037,0.0000,0.0000,590.1545,282.6868,0.0000,0.0000,260.6679,277.1070,0.0000,0.0000,
56,0.07,-0.01,0.19,-0.05,-0.11,0.00,,587.4687,54.6783,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3544,51.7778,0.0000,0.0000,421.3637,221.5099,0.0000,0.0000,590.1355,282.6815,0.0000,0.0000,260.6529,277.1140,0.0000,0.0000,
57,-0.02,0.08,0.08,0.06,-0.16,0.07,,587.4614,54.6853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3591,51.7924,0.0000,0.0000,421.3643,221.5146,0.0000,0.0000,590.1495,282.6840,0.0000,0.0000,260.6472,277.1224,0.0000,0.0000,
58,-0.05,-0.02,0.14,0.06,0.07,-0.03,,587.4522,54.6898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3618,51.7742,0.0000,0.0000,421.3598,221.5075,0.0000,0.0000,590.1485,282.6818,0.0000,0.0000,260.6575,277.1118,0.0000,0.0000,
59,-0.04,0.11,0.26,0.23,0.28,0.06,,587.4556,54.6981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3519,51.7724,0.0000,0.0000,421.3665,221.5012,0.0000,0.0000,590.1451,282.6867,0.0000,0.0000,260.6537,277.1244,0.0000,0.0000,
60,-0.15,0.02,0.23,0.28,0.06,0.06,,587.4637,54.6889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3639,51.7799,0.0000,0.0000,421.3723,221.4971,0.0000,0.0000,590.1466,282.6803,0.0000,0.0000,260.6661,277.1187,0.0000,0.0000,
